,Year:,Month:,County:,Vegetation Condition Index(VIC):,Pasture condition:,Browse condition:,Cattle body condition:,Goats body condition:,Current milk production:,Current cattle prices:,Current goats prices:,Livestock mortality:,Maize prices:,Distance from households to main water sources:,Distance from livestock grazing area to main water sources:,Terms of trade:,Children at risk of malnutrition:,Drought phase classification:,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,_tags,_index
88,2020.0,September,Kajiado,Vegetation greenness Above normal,3.0,2.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,At LTA,Below LTA,Above LTA,,Normal,246076257,1cc57e27-c5a9-454e-8ece-c8949c5e7ef0,2021-12-28 09:00:23,,,submitted_via_web,,,89
89,2021.0,August,Kajiado,Normal vegetation greenness,1.0,2.0,2.0,3.0,Below LTA,Above LTA,Above LTA,,Above LTA,Above LTA,Below LTA,Above LTA,Below LTA,Normal,246076963,79965872-c889-4638-ba8f-f4772a5f8085,2021-12-28 09:03:06,,,submitted_via_web,,,90
91,2021.0,August,Laikipia,Normal vegetation greenness,1.0,2.0,2.0,2.0,Below LTA,At LTA,Above LTA,,At LTA,Above LTA,Above LTA,At LTA,At LTA,Alert,246077858,2ca9e71f-02bb-4b1c-b267-e953ec9db13b,2021-12-28 09:05:35,,,submitted_via_web,,,92
92,2021.0,August,Tharaka nithi,Normal vegetation greenness,1.0,2.0,2.0,2.0,Below LTA,Above LTA,Above LTA,,Below LTA,Below LTA,Below LTA,Above LTA,Below LTA,Normal,246078719,471ab7cf-4115-45ca-8cd6-a9d23a5c434c,2021-12-28 09:08:26,,,submitted_via_web,,,93
93,2021.0,August,West pokot,Vegetation greenness Above normal,2.0,3.0,2.0,2.0,Above LTA,Above LTA,Above LTA,,At LTA,Above LTA,At LTA,At LTA,Below LTA,Normal,246079385,f4220ff0-be46-4b51-b427-d4ea27f5bb83,2021-12-28 09:10:32,,,submitted_via_web,,,94
94,2020.0,September,Tharaka nithi,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Below LTA,,Normal,246080190,cde2cc6a-0f8a-4890-9abf-edac1aee66de,2021-12-28 09:12:39,,,submitted_via_web,,,95
95,2021.0,August,Embu,Normal vegetation greenness,2.0,2.0,2.0,2.0,Above LTA,Below LTA,At LTA,,Below LTA,Above LTA,Above LTA,At LTA,At LTA,Alert,246080353,b689ef84-bff0-4a50-931d-866e22604007,2021-12-28 09:13:19,,,submitted_via_web,,,96
96,2021.0,August,Kitui,Normal vegetation greenness,1.0,3.0,2.0,2.0,Below LTA,Above LTA,At LTA,,Below LTA,Below LTA,At LTA,At LTA,Below LTA,Alert,246081283,b795fd09-9cbf-4553-baa9-d27edb932479,2021-12-28 09:16:31,,,submitted_via_web,,,97
97,2021.0,August,Makueni,Vegetation greenness Above normal,1.0,2.0,2.0,2.0,Above LTA,Above LTA,At LTA,,At LTA,Below LTA,Above LTA,Above LTA,At LTA,Alert,246082136,006f1942-3a97-43d3-9100-7538e3d5174e,2021-12-28 09:19:05,,,submitted_via_web,,,98
98,2021.0,August,Meru,Normal vegetation greenness,1.0,1.0,2.0,2.0,Below LTA,At LTA,Below LTA,,Below LTA,Above LTA,Above LTA,Below LTA,At LTA,Alert,246083793,0fa72305-57fc-4d74-a923-c845782ffe36,2021-12-28 09:22:27,,,submitted_via_web,,,99
99,2021.0,August,Nyeri,Normal vegetation greenness,1.0,1.0,2.0,2.0,Below LTA,Below LTA,Below LTA,,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Normal,246084908,2a879486-85c0-433f-aad5-d247cf84d096,2021-12-28 09:24:57,,,submitted_via_web,,,100
100,2021.0,August,Kilifi,Moderate vegetation deficit,1.0,1.0,2.0,2.0,Below LTA,Below LTA,Above LTA,,Below LTA,Above LTA,Below LTA,Above LTA,At LTA,Alert,246090814,61796ef2-be3f-4e3e-9ea2-8ee7cad8fbbf,2021-12-28 09:39:59,,,submitted_via_web,,,101
101,2021.0,August,Kwale,Moderate vegetation deficit,1.0,2.0,2.0,2.0,At LTA,At LTA,Above LTA,,At LTA,Above LTA,Above LTA,At LTA,At LTA,Alert,246092155,a9c71d3a-99d6-4ff5-9e05-49b6b2998f5a,2021-12-28 09:43:34,,,submitted_via_web,,,102
102,2021.0,August,Lamu,Moderate vegetation deficit,3.0,3.0,2.0,2.0,Above LTA,Above LTA,Above LTA,,At LTA,Above LTA,Above LTA,Above LTA,At LTA,Alert,246092918,439c6275-a992-4c14-a8df-f07365589910,2021-12-28 09:45:28,,,submitted_via_web,,,103
103,2021.0,August,Taita taveta,Normal vegetation greenness,2.0,2.0,3.0,3.0,At LTA,Above LTA,Above LTA,,Above LTA,Above LTA,Above LTA,At LTA,At LTA,Normal,246094263,b6812c4d-5cd6-41e6-8c1a-f6bcbdb54b48,2021-12-28 09:48:03,,,submitted_via_web,,,104
104,2021.0,August,Narok,Vegetation greenness Above normal,2.0,3.0,2.0,2.0,Above LTA,Above LTA,Above LTA,,At LTA,Below LTA,At LTA,Above LTA,Above LTA,Normal,246095760,0da4ff84-42a4-4678-8169-c2515574a0df,2021-12-28 09:51:10,,,submitted_via_web,,,105
105,2020.0,September,West pokot,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,,Normal,246097805,524f7231-c703-4243-a83c-241e1cc6f1e0,2021-12-28 09:55:14,,,submitted_via_web,,,106
106,2021.0,June,Baringo,Vegetation greenness Above normal,1.0,2.0,2.0,2.0,Below LTA,Above LTA,Above LTA,,Below LTA,Above LTA,Above LTA,Above LTA,Below LTA,Normal,246098493,7f9d0979-8e72-4630-a5f0-baf29a0c81d7,2021-12-28 09:57:21,,,submitted_via_web,,,107
107,2021.0,June,Mandera,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,At LTA,Below LTA,At LTA,,Above LTA,Above LTA,At LTA,Below LTA,Above LTA,Alert,246099282,75c318dc-c6ef-47ca-9968-aa56f9a6ede0,2021-12-28 09:59:36,,,submitted_via_web,,,108
108,2021.0,June,Turkana,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Below LTA,Below LTA,At LTA,,At LTA,Above LTA,Above LTA,Above LTA,At LTA,Normal,246100336,68b78271-cb11-40f2-a952-3d2c7e3f5066,2021-12-28 10:02:53,,,submitted_via_web,,,109
109,2020.0,September,Embu,Vegetation greenness Above normal,2.0,2.0,2.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Below LTA,Below LTA,Above LTA,,Normal,246100419,e0e6428e-35fb-4251-a864-5fd810f12ae5,2021-12-28 10:03:03,,,submitted_via_web,,,110
110,2021.0,June,Marsabit,Moderate vegetation deficit,2.0,2.0,2.0,2.0,Below LTA,Below LTA,Below LTA,,Above LTA,Below LTA,Below LTA,At LTA,Above LTA,Alert,246102449,5e204673-ba43-4203-a006-0a75414e4376,2021-12-28 10:08:31,,,submitted_via_web,,,111
111,2020.0,September,Kitui,Vegetation greenness Above normal,2.0,2.0,2.0,3.0,Below LTA,At LTA,Below LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,At LTA,,Normal,246102585,a5b6cec7-5216-442a-aeb2-9b9084887888,2021-12-28 10:09:08,,,submitted_via_web,,,112
112,2020.0,September,Makueni,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Below LTA,Above LTA,At LTA,No death of livestock reported,At LTA,At LTA,At LTA,Above LTA,,Normal,246105354,f16726dc-3e1c-4aea-acc0-50e7da5645ec,2021-12-28 10:16:12,,,submitted_via_web,,,113
113,2021.0,June,Wajir,Moderate vegetation deficit,1.0,1.0,2.0,1.0,At LTA,At LTA,At LTA,,Above LTA,Above LTA,Above LTA,At LTA,Above LTA,Alert,246105992,b4b0e4a6-dd0a-447d-aeab-1f064a496856,2021-12-28 10:17:54,,,submitted_via_web,,,114
114,2021.0,June,Samburu,Normal vegetation greenness,2.0,2.0,2.0,2.0,At LTA,Above LTA,Above LTA,,Below LTA,Above LTA,Above LTA,Above LTA,At LTA,Alert,246106697,61a1bb97-f6ab-4ee3-a79d-7ce46ab84c45,2021-12-28 10:20:06,,,submitted_via_web,,,115
115,2020.0,September,Meru,Vegetation greenness Above normal,1.0,1.0,3.0,3.0,At LTA,At LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,At LTA,Below LTA,,Normal,246106829,c2332938-1bd7-45e4-9f96-fe69cd138be9,2021-12-28 10:20:28,,,submitted_via_web,,,116
116,2021.0,June,Garissa,Moderate vegetation deficit,1.0,1.0,2.0,2.0,Below LTA,Above LTA,At LTA,,Above LTA,Above LTA,Above LTA,At LTA,Below LTA,Alert,246107443,7c47a942-e9f7-424a-a5ad-36d7a8a876f8,2021-12-28 10:22:29,,,submitted_via_web,,,117
117,2021.0,June,Isiolo,Severe vegetation deficit,1.0,1.0,2.0,2.0,Below LTA,Above LTA,At LTA,,At LTA,Above LTA,Above LTA,Above LTA,Above LTA,Alert,246107933,ed268a29-8f63-4c0d-8fdc-73fc14c7625b,2021-12-28 10:24:23,,,submitted_via_web,,,118
118,2020.0,September,Nyeri,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Above LTA,At LTA,Below LTA,At LTA,Normal,246108880,a77576dd-5560-483a-8b4c-a0b66b1dcaf3,2021-12-28 10:26:30,,,submitted_via_web,,,119
119,2021.0,June,Tana river,Moderate vegetation deficit,1.0,2.0,2.0,2.0,Above LTA,Above LTA,Above LTA,,Below LTA,Above LTA,At LTA,Above LTA,Above LTA,Alert,246108956,4cd5b15f-2fc5-4287-88d6-57db1c35495b,2021-12-28 10:26:45,,,submitted_via_web,,,120
120,2021.0,June,Kajiado,Vegetation greenness Above normal,2.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,,At LTA,Above LTA,Above LTA,Above LTA,Below LTA,Normal,246115065,39c21321-0bc6-4f76-aea0-3d447c96e424,2021-12-28 10:41:58,,,submitted_via_web,,,121
121,2020.0,September,Kilifi,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Above LTA,Above LTA,,Normal,246190024,6ab7b0bd-48ce-4f7c-81cb-44b71cc13b56,2021-12-28 13:55:42,,,submitted_via_web,,,122
122,2020.0,September,Kwale,Normal vegetation greenness,2.0,2.0,3.0,3.0,Below LTA,At LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,At LTA,Above LTA,,Normal,246191461,759c7cdb-cb63-4935-a80f-0e3aa6a7138f,2021-12-28 13:59:50,,,submitted_via_web,,,123
123,2020.0,September,Lamu,Vegetation greenness Above normal,3.0,3.0,2.0,2.0,Below LTA,At LTA,Below LTA,No death of livestock reported,Below LTA,Above LTA,Above LTA,Above LTA,,Normal,246192460,b63aea82-0214-4b48-a7a6-606acdec7ccb,2021-12-28 14:02:22,,,submitted_via_web,,,124
124,2020.0,September,Taita taveta,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,At LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Below LTA,,Normal,246193618,ae7ba06e-1ae5-4468-9b0e-3bb7652e98ac,2021-12-28 14:05:21,,,submitted_via_web,,,125
125,2020.0,August,Baringo,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Above LTA,Above LTA,Below LTA,Normal,246196307,89d80c8f-935e-420b-9e2c-5f46948a932f,2021-12-28 14:13:00,,,submitted_via_web,,,126
126,2020.0,August,Mandera,Vegetation greenness Above normal,1.0,2.0,3.0,3.0,Below LTA,At LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Above LTA,Below LTA,Normal,246198811,7ae40b09-6b7a-47a6-befc-289fada53ff7,2021-12-28 14:19:29,,,submitted_via_web,,,127
127,2020.0,August,Turkana,Vegetation greenness Above normal,2.0,3.0,3.0,3.0,Below LTA,Below LTA,Above LTA,No death of livestock reported,At LTA,Below LTA,Below LTA,Above LTA,Above LTA,Normal,246200253,36c8ab38-f614-4d8a-ba19-f25200bef218,2021-12-28 14:23:00,,,submitted_via_web,,,128
128,2020.0,August,Marsabit,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Above LTA,At LTA,Normal,246201867,a09b25d0-1c55-4864-b6df-bce08e72d7bf,2021-12-28 14:28:17,,,submitted_via_web,,,129
129,2020.0,August,Wajir,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,At LTA,At LTA,At LTA,Above LTA,Normal,246202945,714aac57-7209-4ce6-84bb-1a182b75700c,2021-12-28 14:31:17,,,submitted_via_web,,,130
130,2020.0,August,Samburu,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,At LTA,Above LTA,Above LTA,Above LTA,Normal,246204343,5090d01b-8b3b-4c50-b98d-9a9f248acd71,2021-12-28 14:34:35,,,submitted_via_web,,,131
131,2020.0,August,Garissa,Vegetation greenness Above normal,2.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Above LTA,Above LTA,Alert,246206865,e895cc20-2aef-4ee5-adbc-a0301f81d218,2021-12-28 14:42:29,,,submitted_via_web,,,132
132,2020.0,August,Isiolo,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Above LTA,Above LTA,Above LTA,Normal,246208049,7c948874-138d-487a-8939-07056090d21c,2021-12-28 14:45:57,,,submitted_via_web,,,133
133,2020.0,August,Tana river,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Above LTA,Below LTA,Above LTA,Above LTA,Above LTA,Normal,246208915,cf019eb6-37e0-4aad-b94b-b78ec5c7ff32,2021-12-28 14:48:24,,,submitted_via_web,,,134
134,2020.0,August,Kajiado,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Above LTA,At LTA,Above LTA,At LTA,Normal,246209583,2b861491-442f-4003-81e5-66090752cc2d,2021-12-28 14:50:30,,,submitted_via_web,,,135
135,2020.0,August,Laikipia,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,At LTA,Above LTA,Above LTA,Normal,246210420,389eac19-dc56-4149-b9f0-a1ca0f4aa67f,2021-12-28 14:53:09,,,submitted_via_web,,,136
136,2020.0,August,Tharaka nithi,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,At LTA,Normal,246211695,2a0665f1-b815-43af-9301-afa7036914ae,2021-12-28 14:56:52,,,submitted_via_web,,,137
137,2020.0,August,West pokot,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,At LTA,Above LTA,Above LTA,Normal,246213164,6b38f8b5-b570-4061-9488-1c9779fdd0d7,2021-12-28 14:59:29,,,submitted_via_web,,,138
138,2020.0,August,Embu,Vegetation greenness Above normal,2.0,2.0,2.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,At LTA,Above LTA,Above LTA,At LTA,Normal,246214152,04a6bd21-a708-4980-8444-6641494daae5,2021-12-28 15:02:36,,,submitted_via_web,,,139
139,2020.0,August,Kitui,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Above LTA,Above LTA,Below LTA,Normal,246215253,5d3e82d0-8363-4bc5-a01e-64edba74790f,2021-12-28 15:05:37,,,submitted_via_web,,,140
140,2020.0,August,Makueni,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,At LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Below LTA,At LTA,Above LTA,Above LTA,Normal,246216040,08d831a0-2da2-4692-8a44-aa8a319abfbf,2021-12-28 15:07:57,,,submitted_via_web,,,141
141,2020.0,August,Meru,Vegetation greenness Above normal,1.0,2.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Above LTA,Above LTA,Above LTA,Normal,246217182,86943b0a-f54a-4c1f-aec1-855681321b72,2021-12-28 15:11:24,,,submitted_via_web,,,142
142,2020.0,August,Nyeri,Vegetation greenness Above normal,2.0,2.0,2.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,Above LTA,Normal,246218094,4b9dc738-86b8-463b-b771-782d1aab281a,2021-12-28 15:13:52,,,submitted_via_web,,,143
143,2020.0,August,Kilifi,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Above LTA,Above LTA,Above LTA,Normal,246218895,b12e8198-877b-4764-9bc6-711ae3cec2ec,2021-12-28 15:16:13,,,submitted_via_web,,,144
144,2020.0,August,Kwale,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,At LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Below LTA,Above LTA,Above LTA,Above LTA,Normal,246219783,5acf2d8a-892e-4edc-b336-77cd1f6c125f,2021-12-28 15:18:50,,,submitted_via_web,,,145
145,2020.0,August,Lamu,Vegetation greenness Above normal,3.0,3.0,2.0,2.0,Above LTA,Above LTA,At LTA,No death of livestock reported,Below LTA,Above LTA,Above LTA,Above LTA,Above LTA,Normal,246220440,0948f213-fdcc-4d4b-afa2-8be742bc9b42,2021-12-28 15:20:53,,,submitted_via_web,,,146
146,2020.0,August,Taita taveta,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,Above LTA,Normal,246221030,750113f5-48bc-43f4-a28e-033cb83d0c83,2021-12-28 15:22:56,,,submitted_via_web,,,147
147,2020.0,August,Narok,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Below LTA,Below LTA,,Above LTA,Normal,246221575,fd7b5acd-1c80-4ab0-8c56-0bc69dceaee3,2021-12-28 15:24:30,,,submitted_via_web,,,148
148,2020.0,July,Baringo,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Below LTA,Below LTA,Above LTA,Below LTA,Normal,246226402,fe6bc6f7-7a1c-41f4-8934-faaeac14e46f,2021-12-28 15:41:16,,,submitted_via_web,,,149
149,2020.0,July,Mandera,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,Below LTA,Above LTA,Below LTA,Normal,246228393,38e582d0-5f15-4996-8659-c557dd47b8c5,2021-12-28 15:47:50,,,submitted_via_web,,,150
150,2020.0,July,Turkana,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,Above LTA,Normal,246233743,95d10b43-232b-4533-8a2c-ba24efa5bda6,2021-12-28 16:00:35,,,submitted_via_web,,,151
151,2020.0,July,Marsabit,Vegetation greenness Above normal,2.0,3.0,3.0,3.0,Below LTA,Above LTA,At LTA,No death of livestock reported,At LTA,Above LTA,Below LTA,Above LTA,Below LTA,Normal,246235291,68d664e2-50c3-4977-80aa-6da6f01d2a85,2021-12-28 16:06:12,,,submitted_via_web,,,152
152,2020.0,July,Wajir,Vegetation greenness Above normal,3.0,2.0,2.0,2.0,At LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,At LTA,Below LTA,At LTA,At LTA,Normal,246236221,687b6957-9ff1-4007-aad7-8ad8db7433fa,2021-12-28 16:09:00,,,submitted_via_web,,,153
153,2020.0,July,Samburu,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,Above LTA,Normal,246237766,77e34fc3-7262-4170-bfd5-a3381c03aeb7,2021-12-28 16:13:39,,,submitted_via_web,,,154
154,2020.0,July,Garissa,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Above LTA,Below LTA,Above LTA,Above LTA,Above LTA,Normal,246238822,29c34a66-8488-41a2-b3f0-052bb17a0a11,2021-12-28 16:17:10,,,submitted_via_web,,,155
155,2020.0,July,Isiolo,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,Above LTA,Normal,246239901,e8864689-384e-4bdc-aa25-b7702712455f,2021-12-28 16:21:14,,,submitted_via_web,,,156
156,2020.0,July,Tana river,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Below LTA,Below LTA,Above LTA,Above LTA,Normal,246240913,f529e8f5-03b2-4b86-8a2b-575516dfcccc,2021-12-28 16:24:18,,,submitted_via_web,,,157
157,2020.0,July,Kajiado,Vegetation greenness Above normal,2.0,3.0,3.0,3.0,At LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Above LTA,Below LTA,Above LTA,Below LTA,Normal,246241737,d936874e-b573-42d0-8604-ee414bb72155,2021-12-28 16:27:11,,,submitted_via_web,,,158
158,2020.0,July,Laikipia,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,,Above LTA,Above LTA,No death of livestock reported,Below LTA,At LTA,At LTA,Above LTA,Below LTA,Normal,246242706,6af9bff3-ff8a-4263-b0ef-57013628d7ba,2021-12-28 16:30:27,,,submitted_via_web,,,159
159,2020.0,July,Tharaka nithi,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Above LTA,Above LTA,Above LTA,Below LTA,Normal,246243870,4a68eff4-38bc-4d40-bdf6-2c55e9ccf6d0,2021-12-28 16:32:52,,,submitted_via_web,,,160
160,2020.0,July,West pokot,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,At LTA,Normal,246244946,ac4f118f-db74-4537-9953-37a1c8e50925,2021-12-28 16:36:17,,,submitted_via_web,,,161
161,2020.0,July,Embu,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,At LTA,At LTA,Above LTA,At LTA,Normal,246246306,ec53aec6-ca76-4a46-b513-d22224cb5b94,2021-12-28 16:39:34,,,submitted_via_web,,,162
162,2020.0,July,Kitui,Vegetation greenness Above normal,2.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,At LTA,Above LTA,Below LTA,Normal,246247711,ddbaf67f-0f01-42f2-9cdf-5dc8fc115c57,2021-12-28 16:42:46,,,submitted_via_web,,,163
163,2020.0,July,Makueni,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,Below LTA,Normal,246248849,825dd6fc-607b-4058-9b0c-371ee55674fe,2021-12-28 16:46:36,,,submitted_via_web,,,164
164,2021.0,June,Laikipia,Normal vegetation greenness,1.0,3.0,2.0,2.0,Below LTA,At LTA,Above LTA,,Below LTA,Above LTA,Above LTA,Above LTA,At LTA,Alert,246248908,44298be8-48aa-41c4-9156-c8147a37d209,2021-12-28 16:46:58,,,submitted_via_web,,,165
165,2020.0,July,Meru,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,At LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,Below LTA,Normal,246249756,cc602843-ed2e-4e9d-b559-594d487ec271,2021-12-28 16:49:21,,,submitted_via_web,,,166
166,2021.0,June,Tharaka nithi,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,At LTA,,Below LTA,Below LTA,Below LTA,At LTA,Below LTA,Normal,246249860,b934ff98-0fcb-4afd-8a61-17ba37f34052,2021-12-28 16:49:38,,,submitted_via_web,,,167
167,2021.0,June,West pokot,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Above LTA,Above LTA,Above LTA,,Below LTA,Above LTA,Above LTA,Above LTA,Below LTA,Normal,246250633,3a1b5942-a8cd-42fe-9eea-767c45e06d59,2021-12-28 16:51:52,,,submitted_via_web,,,168
168,2020.0,July,Nyeri,Vegetation greenness Above normal,2.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,Above LTA,Normal,246250953,c109a310-20b8-4f28-89b1-891600716dfb,2021-12-28 16:52:43,,,submitted_via_web,,,169
169,2021.0,June,Embu,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Above LTA,Above LTA,Above LTA,,Below LTA,Above LTA,Above LTA,Above LTA,Above LTA,Normal,246251269,77e4d6fb-bcc9-4c92-b54f-78496d54a544,2021-12-28 16:53:57,,,submitted_via_web,,,170
170,2020.0,July,Kilifi,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,Below LTA,Normal,246251989,ccffcf2e-f2c9-4493-9ca7-b8ffb54cc94f,2021-12-28 16:56:31,,,submitted_via_web,,,171
171,2020.0,July,Kwale,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Above LTA,Below LTA,Normal,246252580,d220d640-2bfc-4d60-9962-21c119696c47,2021-12-28 16:58:43,,,submitted_via_web,,,172
172,2020.0,July,Lamu,Vegetation greenness Above normal,3.0,3.0,2.0,2.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,At LTA,Above LTA,Above LTA,Normal,246254038,a12eb286-3e54-4ab4-afe0-7f118ae36e1e,2021-12-28 17:03:29,,,submitted_via_web,,,173
173,2021.0,June,Kitui,Normal vegetation greenness,1.0,2.0,2.0,2.0,Below LTA,Above LTA,At LTA,,Below LTA,Below LTA,Below LTA,Above LTA,Below LTA,Alert,246254495,13a6ff30-edc0-48ec-a963-0e4410090eb1,2021-12-28 17:05:01,,,submitted_via_web,,,174
174,2020.0,July,Taita taveta,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,Below LTA,Normal,246254563,95e9bfba-bedc-4734-8cbc-b8fdf6239d55,2021-12-28 17:05:19,,,submitted_via_web,,,175
175,2021.0,June,Makueni,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Above LTA,Above LTA,Below LTA,,At LTA,Above LTA,Above LTA,Above LTA,At LTA,Alert,246255135,53249ad2-aa55-4429-bbf7-7e866d22b511,2021-12-28 17:06:57,,,submitted_via_web,,,176
